grant_id,raw_entry
IV_15_0,"COL. THOMAS JONES of the
City of Williamsburgh, Gent.,
6,690 acs. NL, OL in Hanover
Co.; on both sides of Taylors Cr.
by the contrary Fork & North fork
of Taylors Cr., in the head of
Owens Br., the upper Fork of
Maidlins Folly Cr., by the head of
Tarapin Sw.; adj. Doctor Dickson,
Henry Graves, Thomas Maples,
Edward Rice, Mr Philips, Capt.
Dabney, Thomas Meriwether,
Samuel Nuckolls, Capt. Clark,
Lancelot Chrest, Mr Alves, John
Mickie, Thomas Henderson, &
Whitlock; 9 Oct. 1732, p.1.
£29.S15. 335 acs. part formerly
gtd. by pat. to John Bunch [PB 11
p.162 & PB 12 p.244] & by him
sold to Edward Chambers & by sd
Chambers sold to sd Thomas Jones;
400 acs. other part formerly gtd.
by pat. to William Johnson [PB 12
p.245] & by him conveyed to sd
Thomas Jones."
IV_15_1,"COL. THOMAS JONES of the
City of Williamsburgh, Gent.,
3,400 acs., NL, OL in Hanover
Co.; both sides of North Fork of
Little Riv. & head brs. of Elk Cr.;
adj. William Harris, James
Nuckolls, John Poindexter,
Dickenson & Winston; 9 Oct 1732,
p.2. £15. part formerly gtd. by
pat. to Joseph Powell of King Wm.
Co. & by him sold to sd Thomas
Jones."
IV_15_2,"CHARLES CHRISTIAN, 400 acs.,
NL in Goochland Co.; on Wildbore
br. of Licking Hole Cr. adj. sd
Christian; 4 Nov 1732, p.3. £2.
WILLIAM GRAY, JUNR., 414
acs. NL in Brunswick Co.; on S$
side PeeHill Cr.; 31 Jan 1732/33,
p.4. [No Cost but the following
Caveat was included in this belated
Patent] George the Second .... on
the humble petition of the General
Assembly of this our Colony and
Dominion of Virginia was
gratiously pleased to grant to each
of our Subjects which should go to
settle in the county of Brunswick
before the first day of May which
should be in the year of our Lord
1728 the liberty of taking up any
quantity of land not exceeding
1,000 acres free and discharged of
the duty of purchasing rights for the
same."
IV_15_5,"ROBERT BOLLING of Pr. Geo.
Co., Gent., 9,272 acs. NL, OL in
sd Co. on the Edge of the bever
ponds of Nummisseen Cr., on
Tuckers Br. & Georges Br.; adj.
William Hamlin; 31 Jan 1732/33,
p.6. £3.810. 3,132 acs. part
formerly gtd. sd Robt. Bolling by
pat. 7 Mar 1727/28 & 3,481 acs.
part formerly gtd. Robt. Bolling 13
Oct 1727 [PB 13 p.216 & p.229]."
IV_15_6,"ROBERT BOLLING of Pr. Geo.
Co., 3,831 acs. NL in sd Co., in
the Fork bet. little Cr. & main
Deep Cr.; on the Beverponds of the
Main Deep Cr.; 12 Feb 1732/33,
p.7. £19.85. 250 acs. part
formerly gtd. Richard Hudson, 200
acs. formerly gtd. to Hale Hudson
[PB 13 p.533], about 150 acs.
heretofore surveyed for William
Hudson."
IV_15_7,"ELIZABETH BATTELEY, Wife
of Moseley Batteley, late the Relict
of Robert Taliaferro dec’d, 500
acs. NL in St. Mark’s Par. Spotsyl.
Co., in the first Forks of the
Rappardan Riv., in the head of a
Spring Br., adj. Michael Holt &
John Rucker; 28 Mar 1733, p.8.
£2.S810."
IV_15_8,"MARY & ELIZABETH
TALIAFERRO, 1,482 acs. NL in
St. Mark’s Par. Spotsyl. Co. in the
first Forks of Rappardan Riv. adj.
Moseley Batteley, Michael Holt &
John Rucker; 28 Mar 1733, p.8.
£7.S10."
IV_15_9,"THOMAS CARR of Caroline Co.,
Gent., 1,600 acs. OL in Hanover
Co. on both sides of North Fork of
James Riv. opposite the falls of sd
North Fork; 5 Jun 1733, p.9. The
sd 1,600 acs. being formerly gtd.
sd Thomas Carr by 4 several
patents 6 Jun 1730 [PB 13 p.446449]."
IV_15_10,"JOHN NETHERLAND, 360 acs.
NL in Goochland Co. on brs. of
Lickinghole Cr., the long br. of
Lickinghole; adj. John Bolling,
Col. John Fleming, John Tuly &
David Paterson. 20 Jun 1733, p.9.
£2."
IV_15_11,"AMOS LAD, 94 acs. NL in
Goochland Co. on S side of sd Lad
being the Longest of the Seven
Islands in the Fluvanna Riv.; 20
Jun 1733, p.10. 10 Shill."
