grant_id,book,snippet
II_6_0,6,"GEO. DAWSON & FRANCIS HAYDON, 1000 acs., 22 Oct. 1666, p. 1, Adj. Col. More Fantleroy’s orphants, the Indian Path, line of said Randolph & M"
II_6_1,6,"JNO. & THO. BOOCOCK, 750 acs., (Co. blank), 26 Oct. 1666, p. 1. Adj. Tho. Rowland, ——— Vaughan, towards Wm. Freeke, Lt. Col. Pope, Appatamoc"
II_6_5,6,"WM. GREY & CHRISTOPHER BLACKBORNE, 775 acs.,..S. side of Rappa. Co. Upon James Gaynes, running to swamp at head of Occupasion Cr. &c. P. 3, "
II_6_9,6,"JOHN WALTON, (WATTON), & ELIZABETH, his wife 450 acs.-Isle of Wight Co., p. 5, 26 Oct. 1666. Beg. nere. Bennet’s parke, running to upper par"
II_6_18,6,"THOMAS CEELY & JNO. NOBLE, 1000 acs. on N. side of Rappa. Riv.,. in the, freshes nere the falls, 26. Oct. 1666, p. 7. Upon land of. Coll. Cl"
II_6_20,6,"THOMAS GOULDMAN, 1134 A. & 18 Po., on S. side of Rappa. Riv. on the back of a devdt. of Sir Henry Chicherly; 26 Oct. 1666, p. 8. Nere Ralph’"
II_6_21,6,"LT. COLL. THO. GOODRICH, 200 acs. on the head of Hoskins Cr., beg. by the Poquoson of sd. Cr., nigh Clemt. Thrush &c.} 29 Oct. 1666, p. 8. G"
II_6_24,6,"RICHARD COXE, 809 acs. (300 acs. whereof Coxe sold unto Jno. Read), on a Sw. running downe Cow Cr. in Ware Riv., in Mockjack Bay, beg. at ma"
II_6_25,6,"LT. COLL. WM. KENDALL, 1200 acs, at the head-of Cherrystones Cr., where it divides itself into branches; 26 Oct. 1666, p. 10. Between 2 brs:"
II_6_30,6,"MR. WM. LANE, 164 acs. in the freshes of Rappa. Co. on N. side the Riv., adj. plantation he lives on; 29 Oct. 1666, p. 12. Beg, at the mouth"
II_6_34,6,"EDWARD ROWZEE, Gent., & Wm. Harper, 200 acs. on S. W. side of Occupason Cr. above the narrowes of Lord (?) Neck, &c., being lower bounds of "
II_6_40,6,"COLL. NICHOLAS SPENCER, 500 acs. in Potomack freshes, 6 Nov. 1666, p. 17. N. E. upon a cr. above Coll. Speaks land, S. E. upon Gosnells Land"
II_6_43,6,"ROBERT JARRATT, 284 acs. in a necke bet. Yorke & Chikahomani Rivers, adj. Jonathan Hughes, Wm. Mosse & nere Mosses Sw. &c; 9 June 1666, p. 1"
II_6_48,6,"MOYSES DAVIES, Gent., 1450 acs., same Co. &: page,.19 Mar. 1666. S. side of Yorke Riv. over against Manskin, beg. at the mouth of Tottopotto"
II_6_52,6,"CAPT. ALEXANDER FLEMING, 200 acs. on S. side of Rappa. Co. & in the freshes, 21 Jan. 1666, p. 23. Beg. at land formerly Walter Dickenson’s. "
II_6_54,6,"ROBERT TOWNSEND. 650 acs. Chas. Riv. Co. 16 Apr. 1667, p. 24. Ber. Marreaw’s & Townsend's Creeks. (Record badly mutilated.) Mentions Capt. M"
II_6_55,6,"MRS. ELIZABETH OUDELANT, 1500 acs., parte in Isle of Wight Co. & part in Nancimond Co., 26 Oct. 1666, p. 24. Beg. on a poynt belonging to a "
II_6_97,6,"NORTH FLEETE, 300 acs. in the S. br. of Nancimond Riv., on -the N. side, 22 Oct. 1666, p. 40. Granted unto John Skerrott, 17 Mar. 1654 & ass"
II_6_111,6,"SAME. 850 acs., same Co. & date, p. 47. On Black Water alias Cyprus Sw.. beg. on the E’wd. side, adj. land of Anthony Spiltimber &c., a br. "
II_6_123,6,"JNO. LEAD, 75 A., 24 P.. 24 Sept. 1667, p. 53. 50 acs. parte granted to Wm. Bayly, who assigned to ‘Thomas Taylor, who assigned to sd. Lead;"
II_6_145,6,"FRANCIS TRIPLETT, 105u acs. on N. side of Rappa. Riv. in the freshes, 21 Jan. 1666, p. 61. Beg. at land of Mr. Samll. Nicholl’s, deserted, t"
II_6_146,6,"JAMES COGHILL (also written Cogbill), 1050 acs. in the freshes of Rappa. Co., on the S. side, beg. aboute a mile from the head of the E’wd. "
II_6_147,6,"ALEXANDER FLEMING. 2750 acs. in the freshes of Rappa. Co.. S. side the tiver, aboute 2 mi. up Pwomansend Cr. &c.. crossing severall paths to"
II_6_151,6,"MAJOR JNO. WEIRE & MR. ROBT PAINE, 1185 acs., N. side of Rappa. Riv., nere Nanzaticon, beg. about half a mile from the river on the W. side "
II_6_157,6,"MAJOR WILLIAM BALL, 240 acs. on N. side of Rappa. Riv., upon David Fox, land of Grimes, a Cr. deviding this & land of Tho. Harwood. Granted "
II_6_167,6,"MR. JAMES GAYLARD, of Staff. Co., 1000. acs. 8 Nov. 1666, p. 71. Beg. at Coll. Peter Ashton, to W’wd. side of an Indian Marish deviding this"
II_6_171,6,"JNO. & GEORGE MOTT, 1200 acs. on the N. side. & in the freshes of Rappa. Riv., 23 Sept. 1663, p. 73. Beg. on S. E. side of Muddy Cr., &c. Gr"
II_6_173,6,"WM. HORTON. & FRANCIS KIRK_MAN, 3500 acs. in the freshes of Petomacke Riv., on W. side of a Cr., deviding this & land of Capt. Gyles Brent, "
II_6_184,6,"SAME. Co., acreage, date & page the same as above. Bounded by his own severall devidents on the seaside, bet. Gr. & Little Matomkin Crks. & "
